Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_4d520aff	"Phoenix"	I understand, thank you for your help.	game/chapters/ch1_s1-7.rpy	21	"Phoenix" "[what]"
start_254bd0c0	"The Oracle"	Pray to the gods she finds you in time.	game/chapters/ch1_s1-7.rpy	22	"The Oracle" "[what]"
ch1_s2_678b7f98	m	Healer! Graciella is sick! Please, help her!	game/chapters/ch1_s1-7.rpy	37	m "[what]"
ch1_s2_eac93f27		I look up from the test I was doing on the microscope.	game/chapters/ch1_s1-7.rpy	38	"[what]"
ch1_s2_93a626f5		I see my long-term customer, Maximiano with his pet purrbear, Graciella in his arms.	game/chapters/ch1_s1-7.rpy	39	"[what]"
ch1_s2_9469f970	v	Hey! You shouldn't barge in here without knocking!	game/chapters/ch1_s1-7.rpy	40	v "[what]"
ch1_s2_a738d9a8		My best friend and assistant Valencia calls Maximiano out of his behavior.	game/chapters/ch1_s1-7.rpy	41	"[what]"
ch1_s2_ded9d04c		Normally I call in the patients myself, or sometimes she does, when we're ready to take care of the next pet.	game/chapters/ch1_s1-7.rpy	42	"[what]"
ch1_s2_ac905aba	m	But! Graciella is in pain!	game/chapters/ch1_s1-7.rpy	43	m "[what]"
ch1_s2_fcb9aad3		The pet's owner looks about to burst into tears. His purrbear really looks sick.	game/chapters/ch1_s1-7.rpy	44	"[what]"
ch1_s2_7aceb71a	c	I only need to look at one more sample. I will be with you shortly.	game/chapters/ch1_s1-7.rpy	45	c "[what]"
ch1_s2_39b1dd6b	m	But-	game/chapters/ch1_s1-7.rpy	46	m "[what]"
ch1_s2_8ddd5bd2		I put the last sample into the microscope and channel my magic into the crystal to power it.	game/chapters/ch1_s1-7.rpy	60	"[what]"
ch1_s2_31c97a40		This is how all our devices are powered.	game/chapters/ch1_s1-7.rpy	61	"[what]"
ch1_s2_101caff8		Even the lights and kitchen appliances have crystal batteries that we have to switch out every two weeks.	game/chapters/ch1_s1-7.rpy	62	"[what]"
ch1_s2_e136adf1		We replace them with new ones given to us.	game/chapters/ch1_s1-7.rpy	63	"[what]"
ch1_s2_130b1caa		There are powerful mages who work to channel magic into those crystals.	game/chapters/ch1_s1-7.rpy	64	"[what]"
ch1_s2_ef3ae14a		But smaller devices like this microscope can be activated by the user's magic.	game/chapters/ch1_s1-7.rpy	65	"[what]"
ch1_s2_5f863747		The person has to be a magic user, of course.	game/chapters/ch1_s1-7.rpy	66	"[what]"
ch1_s2_42f1e9a7		Both my assistant and I, Catalina, are mages. Our specialization is healing mythical animals.	game/chapters/ch1_s1-7.rpy	67	"[what]"
ch1_s2_4db69db3		However, we also know some combat magic and are capable of using many advanced weapons.	game/chapters/ch1_s1-7.rpy	68	"[what]"
ch1_s2_8d120b50		Well, me more than Valencia - she's weaker when it comes to magic. That's why she didn't qualify as an independent healer.	game/chapters/ch1_s1-7.rpy	69	"[what]"
ch1_s2_49bcfe38		She's told me repeatedly she's happy with the assistant position though.	game/chapters/ch1_s1-7.rpy	70	"[what]"
ch1_s2_e8b79ef2	c	And done! Now show me Graciella, Maximiano.	game/chapters/ch1_s1-7.rpy	71	c "[what]"
ch1_s2_818906b0		Maximiano shows me the purrbear lying limp in his arms. She looks green in the face.	game/chapters/ch1_s1-7.rpy	72	"[what]"
ch1_s2_7b92b70f	m	She hasn't been eating since yesterday.	game/chapters/ch1_s1-7.rpy	73	m "[what]"
ch1_s2_1e665559	c	Hmm...	game/chapters/ch1_s1-7.rpy	74	c "[what]"
ch1_s2_579f731a		I touch the pet's stomach gently, and she hisses in pain.	game/chapters/ch1_s1-7.rpy	75	"[what]"
ch1_s2_f1b8099c	c	I think I know what the problem is...	game/chapters/ch1_s1-7.rpy	76	c "[what]"
ch1_s2a_455e7216	v	I'll hold Graciella for you.	game/chapters/ch1_s1-7.rpy	92	v "[what]"
ch1_s2a_a9c9ddf2		Valencia grabs Graciella so that she can't see me coming to her from behind with the syringe.	game/chapters/ch1_s1-7.rpy	95	"[what]"
ch1_s2a_3ec2f27a		Before the pet notices anything, I inject it.	game/chapters/ch1_s1-7.rpy	96	"[what]"
ch1_s2a_698f9eef	c	There, all done!	game/chapters/ch1_s1-7.rpy	98	c "[what]"
ch1_s2a_14a46771		Graciella makes purring sounds, trying to get Valencia to pet her.	game/chapters/ch1_s1-7.rpy	100	"[what]"
ch1_s2a_38cb10c3	v	Good girl!	game/chapters/ch1_s1-7.rpy	103	v "[what]"
ch1_s2a_b91208fd		Valencia hugs the purrbear to her. Graciella sounds like one happy purrbear. It makes me so pleased to see an animal be so joyful.	game/chapters/ch1_s1-7.rpy	106	"[what]"
ch1_s2a_f03fbfb8	m	You really are a wonderful healer, Miss Catalina...	game/chapters/ch1_s1-7.rpy	108	m "[what]"
ch1_s2a_41185ec8		I look at Maximiano and smile brightly.	game/chapters/ch1_s1-7.rpy	109	"[what]"
ch1_s2a_4c27615d	m	Oh!	game/chapters/ch1_s1-7.rpy	111	m "[what]"
ch1_s2a_3a840b1d		He yelps, surprised.	game/chapters/ch1_s1-7.rpy	112	"[what]"
ch1_s2a_b89e537e	m	Wait...Did I... did I say that out loud...?!	game/chapters/ch1_s1-7.rpy	115	m "[what]"
ch1_s2a_26c31be7		It makes me want to tease him.	game/chapters/ch1_s1-7.rpy	116	"[what]"
ch1_s2a_94fe5e48	c	Yes. Yes, you did!	game/chapters/ch1_s1-7.rpy	117	c "[what]"
ch1_s2a_ce51bf47		All the hugs made me want to hug someone too!	game/chapters/ch1_s1-7.rpy	118	"[what]"
ch1_s2_2_4549df9c		I approach Valencia, who has Graciella in her arms, and hug them both.	game/chapters/ch1_s1-7.rpy	133	"[what]"
ch1_s2_2_1db32e9d		Graciella seems to be happy with being between the two of us.	game/chapters/ch1_s1-7.rpy	135	"[what]"
ch1_s2_2_0b97ad98	m	...how sweet.	game/chapters/ch1_s1-7.rpy	137	m "[what]"
ch1_s2_2_57279acc	c	Come join us!	game/chapters/ch1_s1-7.rpy	139	c "[what]"
ch1_s2_2_49f18b6e		I smile at Maximiano brightly, urging him to join us in the hug, but he shakes his head.	game/chapters/ch1_s1-7.rpy	140	"[what]"
ch1_s2_2_62d6e2b1	m	Thank you, but I'm good.	game/chapters/ch1_s1-7.rpy	141	m "[what]"
ch1_s2_2_03cfdd1a	c	Daw...	game/chapters/ch1_s1-7.rpy	143	c "[what]"
ch1_s2_2_d057330b		I make a sound of disappointment.	game/chapters/ch1_s1-7.rpy	144	"[what]"
ch1_s2_2_1951f4a1		Eventually, we stop hugging. Valencia approaches Maximiano with his pet in her arms and hands Graciella over.	game/chapters/ch1_s1-7.rpy	154	"[what]"
ch1_s2_3_4a969b90		I approach Maximiano and before he can stop me from hugging him, I embrace him tightly.	game/chapters/ch1_s1-7.rpy	160	"[what]"
ch1_s2_3_93929495	m	Whoa!	game/chapters/ch1_s1-7.rpy	162	m "[what]"
ch1_s2_3_bca24cea		He's beet red, all the way to his ears.	game/chapters/ch1_s1-7.rpy	163	"[what]"
ch1_s2_3_41adc0bc	c	Hugging is healthy!	game/chapters/ch1_s1-7.rpy	164	c "[what]"
ch1_s2_3_8784ab5f		Though I'm not doing it because I'm a healer. I simply wanted to hug Maximiano. He's just so cute!	game/chapters/ch1_s1-7.rpy	165	"[what]"
ch1_s2_3_77ae32a4	m	Ahhhh....!	game/chapters/ch1_s1-7.rpy	166	m "[what]"
ch1_s2_3_a0d2a53e		Like now, when he's having a meltdown, waving his arms in the air, not knowing where to put them.	game/chapters/ch1_s1-7.rpy	167	"[what]"
ch1_s2_3_a904e778		I let him go before his brain explodes.	game/chapters/ch1_s1-7.rpy	169	"[what]"
ch1_s2_3_b2d3664e	m	Miss Catalina...	game/chapters/ch1_s1-7.rpy	170	m "[what]"
ch1_s2_3_df1d399e		He has such pretty green eyes.	game/chapters/ch1_s1-7.rpy	171	"[what]"
ch1_s2_3_d5e4db6d	v	E-hem.	game/chapters/ch1_s1-7.rpy	173	v "[what]"
ch1_s2_3_3b4d9408		Valencia approaches us with Graciella in her arms. She hands the pet over to Maximiano.	game/chapters/ch1_s1-7.rpy	184	"[what]"
ch1_s2_4_c2fccbbf		Maybe I shouldn't do it. It might feel too invasive to others if I suddenly embrace them.	game/chapters/ch1_s1-7.rpy	191	"[what]"
ch1_s2_4_8b8b21fc		As much as I like hugging, I need consent to do it.	game/chapters/ch1_s1-7.rpy	192	"[what]"
ch1_s2_4_161f4e29		Eventually, Valencia approaches Maximiano with Graciella in her arms. She hands the pet over to her owner.	game/chapters/ch1_s1-7.rpy	201	"[what]"
ch1_s2_5_d9fa8fce	v	The payment?	game/chapters/ch1_s1-7.rpy	206	v "[what]"
ch1_s2_5_46812aee	m	Ah, right.	game/chapters/ch1_s1-7.rpy	208	m "[what]"
ch1_s2_5_ad65a98a		Maximiano pays for our service, then exits the room.	game/chapters/ch1_s1-7.rpy	212	"[what]"
ch1_s2_5_d0286bb9	v	He's pretty cute, isn't he?	game/chapters/ch1_s1-7.rpy	214	v "[what]"
ch1_s2_5_d21cfb25	c	That he is.	game/chapters/ch1_s1-7.rpy	216	c "[what]"
ch1_s2_5_078e6b5b		We giggle happily like two schoolgirls.	game/chapters/ch1_s1-7.rpy	217	"[what]"
ch1_s2_5_6d669955		What? There's nothing wrong with appreciating how handsome our clients are. After all, we're helping their pets, not them.	game/chapters/ch1_s1-7.rpy	218	"[what]"
ch1_s2_5_ad6160c4		It's time for us to take on the next patient.	game/chapters/ch1_s1-7.rpy	220	"[what]"
ch1_s2_5_d36d6068	c	I really love this job.	game/chapters/ch1_s1-7.rpy	221	c "[what]"
ch1_s2_5_da7ffe9a		I say randomly, feeling very happy about healing another pet..	game/chapters/ch1_s1-7.rpy	222	"[what]"
ch1_s2_5_b3177a27		I've been a mythical animal healer for a year now.	game/chapters/ch1_s1-7.rpy	223	"[what]"
ch1_s2_5_aa7960a1		I graduated from a top university, and ever since then I've been running my own clinic with the help of my best friend Valencia.	game/chapters/ch1_s1-7.rpy	224	"[what]"
ch1_s2_5_48bb9113	v	I love this job too.	game/chapters/ch1_s1-7.rpy	225	v "[what]"
ch1_s3_a86703c2	c	Now, who's next?	game/chapters/ch1_s1-7.rpy	236	c "[what]"
ch1_s3_8552f7f7		I step into the waiting room of the clinic with a bright smile on my face.	game/chapters/ch1_s1-7.rpy	237	"[what]"
ch1_s3_a7a59f40		I notice several pets with their owners, a colorful bunch waiting for me to solve their problems.	game/chapters/ch1_s1-7.rpy	238	"[what]"
ch1_s3_b5ab998e		Which one should I chose?	game/chapters/ch1_s1-7.rpy	239	"[what]"
ch1_s3_1_5897a8b5		The green-colored wonsh with the green underbelly is truly a beautiful creature.	game/chapters/ch1_s1-7.rpy	244	"[what]"
ch1_s3_1_1bca14c7		However, the red light in its head is dim, suggesting it must be in immense pain.	game/chapters/ch1_s1-7.rpy	245	"[what]"
ch1_s3_1_21e1d7eb	c	Can the owner of the wonsh please come in?	game/chapters/ch1_s1-7.rpy	246	c "[what]"
ch1_s3_1_fe46f3d6	"Wonsh's Owner"	Thank you, Healer!	game/chapters/ch1_s1-7.rpy	247	"Wonsh's Owner" "[what]"
ch1_s3_1_faaec613		The wonsh's owner enters the doctor's room, carrying his pet in his arms.	game/chapters/ch1_s1-7.rpy	249	"[what]"
ch1_s3_1_fe26fdc6		This is concerning as the species normally slithers on its own.	game/chapters/ch1_s1-7.rpy	250	"[what]"
ch1_s3_1_4676e7b0		Wonsh are usually quite independent and don't want to be carried.	game/chapters/ch1_s1-7.rpy	251	"[what]"
ch1_s3_1_17457245		I share a worried look with Valencia.	game/chapters/ch1_s1-7.rpy	252	"[what]"
ch1_s3_1_e2be7a02		The man sets his pet on the surgery table.	game/chapters/ch1_s1-7.rpy	253	"[what]"
ch1_s3_1_ade7b8a5	c	Before I take a look, could you tell me what happened?	game/chapters/ch1_s1-7.rpy	254	c "[what]"
ch1_s3_1_7e5ca41a	"Wonsh's Owner"	My Mateo and I were playing catch in the fields.	game/chapters/ch1_s1-7.rpy	255	"Wonsh's Owner" "[what]"
ch1_s3_1_05b6a4b1	"Wonsh's Owner"	Suddenly Mateo hissed in pain and now he doesn't want to move on his own.	game/chapters/ch1_s1-7.rpy	256	"Wonsh's Owner" "[what]"
ch1_s3_1_1e665559	c	Hmm...	game/chapters/ch1_s1-7.rpy	258	c "[what]"
ch1_s3_1_15ce6c56		Time to put the wonsh under inspection then!	game/chapters/ch1_s1-7.rpy	259	"[what]"
ch1_s3_1a_7f2c99d3	c	There, all done! Just don't let Mateo slither for a few days, so the wound can heal properly.	game/chapters/ch1_s1-7.rpy	264	c "[what]"
ch1_s3_1a_8717e95b	"Wonsh's Owner"	Thank you, Miss Catalina!	game/chapters/ch1_s1-7.rpy	265	"Wonsh's Owner" "[what]"
ch1_s3_1a_773bd8ee		The wonsh's owner pays for our services and leaves the doctor's room with the happy pet in arms.	game/chapters/ch1_s1-7.rpy	266	"[what]"
ch1_s3_1a_20f267ec	v	A job well done!	game/chapters/ch1_s1-7.rpy	268	v "[what]"
ch1_s3_1a_a2676947		Now whom should I chose next?	game/chapters/ch1_s1-7.rpy	275	"[what]"
ch1_s3_2_6e8b21d2		The flockto is a wonderful animal with its white spotted skin and colorful tentacles.	game/chapters/ch1_s1-7.rpy	279	"[what]"
ch1_s3_2_2e5cc8eb		Most flocktos are usually extremely colorful, so it's quite amazing to see an albino one.	game/chapters/ch1_s1-7.rpy	280	"[what]"
ch1_s3_2_36d3960d		However, I cannot truly admire its beauty when it's so clearly hurt	game/chapters/ch1_s1-7.rpy	282	"[what]"
ch1_s3_2_8843c357	c	Can the flockto's owner please come in?	game/chapters/ch1_s1-7.rpy	283	c "[what]"
ch1_s3_2_9761a62e	"Flockto's Owner"	Finally!	game/chapters/ch1_s1-7.rpy	284	"Flockto's Owner" "[what]"
ch1_s3_2_3bcbb7c5		The flockto's owner looks impatient as she enters the room, her pet floating in the air behind.	game/chapters/ch1_s1-7.rpy	285	"[what]"
ch1_s3_2_8f7ed509	c	Tell me what happened.	game/chapters/ch1_s1-7.rpy	287	c "[what]"
ch1_s3_2_89ca173e	"Flockto's Owner"	Oh, Leonardo refuses to eat. Please do something about it.	game/chapters/ch1_s1-7.rpy	288	"Flockto's Owner" "[what]"
ch1_s3_2_631a37d0		I hold back a sigh. She doesn't exactly give much information. I will have to work with it regardless.	game/chapters/ch1_s1-7.rpy	291	"[what]"
ch1_s3_2_dbd83b9a		The owner can be rude all she wants but what's important is to save the pet from suffering.	game/chapters/ch1_s1-7.rpy	292	"[what]"
ch1_s3_2a_7b57f381	"Flockto's Owner"	Are they healed?	game/chapters/ch1_s1-7.rpy	299	"Flockto's Owner" "[what]"
ch1_s3_2a_583dcdd3	c	I took care of the worst of it, but please apply this medicine to Leonardo every day for the next four days.	game/chapters/ch1_s1-7.rpy	300	c "[what]"
ch1_s3_2a_57a64282	"Flockto's Owner"	If I must.	game/chapters/ch1_s1-7.rpy	301	"Flockto's Owner" "[what]"
ch1_s3_2a_e1dba16e	c	And please don't feed the pet chocolate.	game/chapters/ch1_s1-7.rpy	302	c "[what]"
ch1_s3_2a_905b6c6b	"Flockto's Owner"	...	game/chapters/ch1_s1-7.rpy	303	"Flockto's Owner" "[what]"
ch1_s3_2a_ae85f161		The flockto's owner pays us and leaves the room without a goodbye.	game/chapters/ch1_s1-7.rpy	304	"[what]"
ch1_s3_2a_a43d04bc	v	Some people are really irresponsible.	game/chapters/ch1_s1-7.rpy	306	v "[what]"
ch1_s3_2a_0bd52403	c	I have a feeling this isn't the last time we are going to see this flockto and its owner.	game/chapters/ch1_s1-7.rpy	308	c "[what]"
ch1_s3_2a_3ad24308		I sigh and walk out of the doctor's room.	game/chapters/ch1_s1-7.rpy	310	"[what]"
ch1_s3_2a_a2676947		Now whom should I chose next?	game/chapters/ch1_s1-7.rpy	317	"[what]"
ch1_s3_3_6b22c45e		The lemurin with bright orange fur quivers in pain.	game/chapters/ch1_s1-7.rpy	321	"[what]"
ch1_s3_3_3f2a5d9f	"Lemurin's Owner"	Please help us, Healer!	game/chapters/ch1_s1-7.rpy	324	"Lemurin's Owner" "[what]"
ch1_s3_3_91afc6ed	c	On it!	game/chapters/ch1_s1-7.rpy	325	c "[what]"
ch1_s3_3_a7bb2c79		The lemurin walks slowly and reluctantly behind its owner to the doctor's room.	game/chapters/ch1_s1-7.rpy	327	"[what]"
ch1_s3_3_85fe136c		I can feel its pain just by looking at it.	game/chapters/ch1_s1-7.rpy	328	"[what]"
ch1_s3_3_499819e9	c	What happened?	game/chapters/ch1_s1-7.rpy	329	c "[what]"
ch1_s3_3_b738b644	"Lemurin's Owner"	Emilia was playing with another lemurin of mine in a tree, when she suddenly fell from the branch.	game/chapters/ch1_s1-7.rpy	330	"Lemurin's Owner" "[what]"
ch1_s3_3_774da5e2	"Lemurin's Owner"	Ever since then, she's been in a lot of pain and won't let even me touch her.	game/chapters/ch1_s1-7.rpy	332	"Lemurin's Owner" "[what]"
ch1_s3_3_75becaf3	c	Alright. I'll see what I can do.	game/chapters/ch1_s1-7.rpy	333	c "[what]"
ch1_s3_3a_9cfb5d37	c	All done!	game/chapters/ch1_s1-7.rpy	340	c "[what]"
ch1_s3_3a_075716ed	"Lemurin's Owner"	Thank you, oh thank you, healer!	game/chapters/ch1_s1-7.rpy	341	"Lemurin's Owner" "[what]"
ch1_s3_3a_36860285		The lemurin's owner pays for the services and leaves, thanking us multiple times.	game/chapters/ch1_s1-7.rpy	342	"[what]"
ch1_s3_3a_f9cdf82c	v	Excellent job!	game/chapters/ch1_s1-7.rpy	344	v "[what]"
ch1_s3_3a_46f0277d	c	Well, thank you!	game/chapters/ch1_s1-7.rpy	345	c "[what]"
ch1_s3_3a_fcbba9fe		I leave for the waiting room to see who's up next.	game/chapters/ch1_s1-7.rpy	352	"[what]"
ch1_s4_56e52b62		With no more pets to heal, Valencia and I take a break for lunch.	game/chapters/ch1_s1-7.rpy	358	"[what]"
ch1_s4_3b590a37		Later that day, after we've already closed the clinic for the day, and started our clean-up routine, Valencia smiles at me brightly.	game/chapters/ch1_s1-7.rpy	363	"[what]"
ch1_s4_a44b0ef8	v	Another day of work successfully completed!	game/chapters/ch1_s1-7.rpy	365	v "[what]"
ch1_s4_c9577805	c	Today was a great day!	game/chapters/ch1_s1-7.rpy	372	c "[what]"
ch1_s4_d9a0389d		I can’t help the bright smile that appears on my face. I love my job and it brings me a lot of satisfaction.	game/chapters/ch1_s1-7.rpy	373	"[what]"
ch1_s4_6033bdcf	v	Yes, and no major surgeries-	game/chapters/ch1_s1-7.rpy	375	v "[what]"
ch1_s4_0a129885		Our happiness is interrupted by loud banging on the entrance door.	game/chapters/ch1_s1-7.rpy	379	"[what]"
ch1_s4_eb73adb8		It’s past opening hours, but that’s not the first time we find ourselves in this situation.	game/chapters/ch1_s1-7.rpy	380	"[what]"
ch1_s4_43db7d1c		I can’t say I’m surprised. Everything has gone too smoothly today.	game/chapters/ch1_s1-7.rpy	382	"[what]"
ch1_s4_53c56f13	c	Today could have been better, but at least we made no major mistakes.	game/chapters/ch1_s1-7.rpy	386	c "[what]"
ch1_s4_e7ba3b44		I smile at her softly. It certainly hasn’t been the best day in the history of the clinic, but still, I love my job.	game/chapters/ch1_s1-7.rpy	387	"[what]"
ch1_s4_496b52ed	v	Yes, and no major surgeries-	game/chapters/ch1_s1-7.rpy	389	v "[what]"
ch1_s4_9219289f		Our conversation is interrupted by loud banging on the entrance door.	game/chapters/ch1_s1-7.rpy	392	"[what]"
ch1_s4_eb73adb8_1		It’s past opening hours, but that’s not the first time we find ourselves in this situation.	game/chapters/ch1_s1-7.rpy	393	"[what]"
ch1_s4_d5590185		I can’t say I’m surprised.	game/chapters/ch1_s1-7.rpy	395	"[what]"
ch1_s4_fbbb1b85	c	You might have said that too soon.	game/chapters/ch1_s1-7.rpy	398	c "[what]"
ch1_s4_5b2ba77b	v	Oh no...	game/chapters/ch1_s1-7.rpy	400	v "[what]"
ch1_s4_5cc546a1		I make my way to the entrance door, Valencia following me closely behind.	game/chapters/ch1_s1-7.rpy	410	"[what]"
ch1_s4_c094a410	"???"	Healer! We need your help!	game/chapters/ch1_s1-7.rpy	411	"???" "[what]"
ch1_s4_1d48425e		There is a panicked man wearing a hard hat and plaid shirt on the outside of the entrance.	game/chapters/ch1_s1-7.rpy	413	"[what]"
ch1_s4_0b8c62a9		A lumberjack? But I see no sick animal with him. Oh no, is this an emergency call?	game/chapters/ch1_s1-7.rpy	414	"[what]"
ch1_s4_3fee2a29	c	I'm here. How can I help?	game/chapters/ch1_s1-7.rpy	416	c "[what]"
ch1_s4_0c876a35	"Lumberjack"	There's a burning bird in the forest just outside of town!	game/chapters/ch1_s1-7.rpy	418	"Lumberjack" "[what]"
ch1_s4_de317604	"Lumberjack"	We were working - cutting trees and we found it there, lying there in a clearing!	game/chapters/ch1_s1-7.rpy	419	"Lumberjack" "[what]"
ch1_s4_7dedd29e	"Lumberjack"	I swear we've done nothing! But it's on fire!	game/chapters/ch1_s1-7.rpy	420	"Lumberjack" "[what]"
ch1_s4_a26dd014		That can't be what I think it is. I exchange a worried glance with Valencia.	game/chapters/ch1_s1-7.rpy	421	"[what]"
ch1_s4_4d666d5b	c	Hold on, please don't panic. I'm not blaming you for anything.	game/chapters/ch1_s1-7.rpy	423	c "[what]"
ch1_s4_6c177ad4	c	Tell me the state of the patient. Does it have any wounds?	game/chapters/ch1_s1-7.rpy	424	c "[what]"
ch1_s4_60b4e2b0	"Lumberjack"	I don't know...	game/chapters/ch1_s1-7.rpy	425	"Lumberjack" "[what]"
ch1_s4_a7f086d3	c	Has no one looked closely at the creature?	game/chapters/ch1_s1-7.rpy	427	c "[what]"
ch1_s4_aa4d97b6	"Lumberjack"	No one dared to approach it! It's an inferno!	game/chapters/ch1_s1-7.rpy	428	"Lumberjack" "[what]"
ch1_s4_3a8036b7		The man looks shocked at my suggestion. I sigh, too tired to hide my annoyance.	game/chapters/ch1_s1-7.rpy	430	"[what]"
ch1_s4_affc562a		Well, sometimes indifference is better than messing something up while trying to help.	game/chapters/ch1_s1-7.rpy	431	"[what]"
ch1_s4_7120e519	c	Val, get the flying stretcher, my toolbox and four fire resistance potions.	game/chapters/ch1_s1-7.rpy	433	c "[what]"
ch1_s4_63948e1e	v	On it!	game/chapters/ch1_s1-7.rpy	435	v "[what]"
ch1_s4_c882dc87		Valencia leaves to prepare what we need to help our new patient.	game/chapters/ch1_s1-7.rpy	439	"[what]"
ch1_s4_9a5fca9e		It's time to try to calm down the man and get as much information out of him as I can.	game/chapters/ch1_s1-7.rpy	441	"[what]"
ch1_s4_2_f197d3c6	c	Can you tell me where exactly you found the burning bird?	game/chapters/ch1_s1-7.rpy	456	c "[what]"
ch1_s4_2_8a7d78f3	"Lumberjack"	Not far away from town, it took me ten minutes to run over here from there!	game/chapters/ch1_s1-7.rpy	457	"Lumberjack" "[what]"
ch1_s4_2_b91dc60d		The man gestures to the left. That's indeed the way to the forest that surrounds the town.	game/chapters/ch1_s1-7.rpy	458	"[what]"
ch1_s4_2_cc63eae0		There are no magical forests this close to us.	game/chapters/ch1_s1-7.rpy	459	"[what]"
ch1_s4_2_c1d12b44		Magical forests are unstable, so there could be an explosion from the contact of the creature with the vegetation of such a forest.	game/chapters/ch1_s1-7.rpy	460	"[what]"
ch1_s4_2_8756fbbb		The man doesn't look wounded though, and I heard no explosions. So I don't think he's lying about the location.	game/chapters/ch1_s1-7.rpy	461	"[what]"
ch1_s4_3_53db5437	c	You said the forest is not burning from the fire of the patient...	game/chapters/ch1_s1-7.rpy	474	c "[what]"
ch1_s4_3_2d24dc5b	"Lumberjack"	I don't know how that's possible! The creature is clearly on fire!	game/chapters/ch1_s1-7.rpy	475	"Lumberjack" "[what]"
ch1_s4_3_12ee5305		Well, I have my suspicions.	game/chapters/ch1_s1-7.rpy	476	"[what]"
ch1_s4_3_b460946c		If there is no forest fire - and I can't see one from here - it cannot be a fire elemental that took on the shape of a bird.	game/chapters/ch1_s1-7.rpy	477	"[what]"
ch1_s4_3_b760f418		That's good because a fire elemental is not a mythical animal.	game/chapters/ch1_s1-7.rpy	478	"[what]"
ch1_s4_3_e4d00098		It's an apparition made of pure magic of its corresponding element. There's nothing I could do to heal the force of nature.	game/chapters/ch1_s1-7.rpy	479	"[what]"
ch1_s4_4_771a0dcd	c	How long ago did you find the burning bird?	game/chapters/ch1_s1-7.rpy	492	c "[what]"
ch1_s4_4_c9a8c3a3	"Lumberjack"	Fifteen minutes ago! As soon as we saw the creature, we decided to go to you for help!	game/chapters/ch1_s1-7.rpy	493	"Lumberjack" "[what]"
ch1_s4_4_9a062e77	c	Thank you for your faith in me.	game/chapters/ch1_s1-7.rpy	496	c "[what]"
ch1_s4_4_0c6cc659	"Lumberjack"	Of course, you're known as the best animal healer in town!	game/chapters/ch1_s1-7.rpy	497	"Lumberjack" "[what]"
ch1_s4_4_f041d6df		I nod, happy that my fame is spreading. Though with great fame comes great responsibility, as I think I'm about to discover...	game/chapters/ch1_s1-7.rpy	498	"[what]"
ch1_s4_5_a607f7b5		After a while, Valencia comes back, the stretcher flying behind her.	game/chapters/ch1_s1-7.rpy	517	"[what]"
ch1_s4_5_7b77c12c	v	I have everything you've requested.	game/chapters/ch1_s1-7.rpy	518	v "[what]"
ch1_s4_5_c27d2670	c	Then let's go! No time to waste!	game/chapters/ch1_s1-7.rpy	519	c "[what]"
ch1_s5_cf187f99		We follow the man on the road leading out of town and soon we enter the forest. The trees rustle and move in the wind gently.	game/chapters/ch1_s1-7.rpy	536	"[what]"
ch1_s5_b3da0d6b		Nothing seems to indicate something bad has happened here.	game/chapters/ch1_s1-7.rpy	537	"[what]"
ch1_s5_a800293c	v	So... what do you think it is?	game/chapters/ch1_s1-7.rpy	538	v "[what]"
